old_claim,roll,0,1,2,3,4,5,6
0,1,-1.00000,0.00000,0.00000,0.98950,0.01050,0.00000,0.00000
0,2,-1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
0,3,-1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
0,4,-1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000
0,5,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
0,6,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,1,-1.00000,-1.00000,0.59213,0.40787,0.00000,0.00000,0.00000
1,2,-1.00000,-1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
1,3,-1.00000,-1.00000,0.00000,1.00000,0.00000,0.00000,0.00000
1,4,-1.00000,-1.00000,0.00000,0.52620,0.47380,0.00000,0.00000
1,5,-1.00000,-1.00000,0.00000,0.00000,0.00000,1.00000,0.00000
1,6,-1.00000,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,1,-1.00000,-1.00000,-1.00000,0.70541,0.29459,0.00000,0.00000
2,2,-1.00000,-1.00000,-1.00000,1.00000,0.00000,0.00000,0.00000
2,3,-1.00000,-1.00000,-1.00000,1.00000,0.00000,0.00000,0.00000
2,4,-1.00000,-1.00000,-1.00000,0.00000,1.00000,0.00000,0.00000
2,5,-1.00000,-1.00000,-1.00000,0.00000,0.00000,1.00000,0.00000
2,6,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,0.00000
3,1,-1.00000,-1.00000,-1.00000,-1.00000,0.33333,0.33333,0.33333
3,2,-1.00000,-1.00000,-1.00000,-1.00000,0.33333,0.33333,0.33333
3,3,-1.00000,-1.00000,-1.00000,-1.00000,0.28571,0.71429,0.00000
3,4,-1.00000,-1.00000,-1.00000,-1.00000,1.00000,0.00000,0.00000
3,5,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000,0.00000
3,6,-1.00000,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000
4,1,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000
4,2,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000,0.00000
4,3,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000
4,4,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000
4,5,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000,0.00000
4,6,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.00000,0.00000
5,1,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,2,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,3,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,4,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,5,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,6,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.00000
