P0 ............ [(7, 0.5), (4, 0.5)]
P0 ....x....... [(1, 0.143), (2, 0.143), (9, 0.357), (8, 0.357)]
P0 .......x.... [(10, 0.143), (9, 0.143), (2, 0.357), (3, 0.357)]
P0 ....x...o... [(9, 1.0)]
P0 ...o...x.... [(2, 1.0)]
P0 ....x...ox.. [(6, 0.8), (2, 0.2)]
P0 ..xo...x.... [(5, 0.8), (9, 0.2)]
P0 ..o.x...ox.. [(1, 1.0)]
P0 ..xo...x.o.. [(10, 1.0)]
P0 .xo.x...ox.. [(6, 1.0)]
P0 ..xo...x.ox. [(5, 1.0)]
P0 .xo.x.o.ox.. [(7, 1.0)]
P0 ..xo.o.x.ox. [(4, 1.0)]
P0 ..x.x...ox.. [(6, 1.0)]
P0 ..xo...x.x.. [(5, 1.0)]
P0 ..x.x.o.ox.. [(7, 1.0)]
P0 ..xo.o.x.x.. [(4, 1.0)]
P0 ....x.o.ox.. [(7, 1.0)]
P0 ..xo.o.x.... [(4, 1.0)]
P0 ....x.oxox.. [(1, 1.0)]
P0 ..xoxo.x.... [(10, 1.0)]
P0 .o..x.oxox.. [(2, 1.0)]
P0 ..xoxo.x..o. [(9, 1.0)]
P0 ....x.x.ox.. [(2, 1.0)]
P0 ..xo.x.x.... [(9, 1.0)]
P0 ..o.x.x.ox.. [(1, 1.0)]
P0 ..xo.x.x.o.. [(10, 1.0)]
P0 .oo.x.x.ox.. [(0, 1)]
P0 ..xo.x.x.oo. [(11, 1)]
P0 xoo.x.x.ox.. [(3, 1)]
P0 ..xo.x.x.oox [(8, 1)]
P0 ....x...x... [(7, 0.8), (2, 0.2)]
P0 ...x...x.... [(4, 0.8), (9, 0.2)]
P0 ..o.x...x... [(1, 1.0)]
P0 ...x...x.o.. [(10, 1.0)]
P0 .oo.x...x... [(0, 1)]
P0 ...x...x.oo. [(11, 1)]
P0 xoo.x...x... [(3, 1)]
P0 ...x...x.oox [(8, 1)]
P0 xooxx...x... [(5, 1)]
P0 ...x...xxoox [(6, 1)]
P0 xooxxo..x... [(6, 1)]
P0 ...x..oxxoox [(5, 1)]
P0 xooxxoo.x... [(7, 1)]
P0 ...x.ooxxoox [(4, 1)]
P0 xooxxooxx... [(9, 1)]
P0 ...xxooxxoox [(2, 1)]
P0 xooxxooxxo.. [(10, 1)]
P0 ..oxxooxxoox [(1, 1)]
P0 xooxxox.x... [(7, 1)]
P0 ...x.xoxxoox [(4, 1)]
P0 xooxxoxox... [(9, 1)]
P0 ...xoxoxxoox [(2, 1)]
P0 xooxxx..x... [(6, 1)]
P0 ...x..xxxoox [(5, 1)]
P0 xooxxxo.x... [(7, 1)]
P0 ...x.oxxxoox [(4, 1)]
P0 xooxxxoox... [(9, 1)]
P0 ...xooxxxoox [(2, 1)]
P0 xooxxxooxo.. [(10, 1)]
P0 ..oxooxxxoox [(1, 1)]
P0 .xo.x...x... [(7, 0.5), (10, 0.5)]
P0 ...x...x.ox. [(4, 0.5), (1, 0.5)]
P0 .xo.x...x.o. [(11, 1.0)]
P0 .o.x...x.ox. [(0, 1.0)]
P0 .xo.x...x.oo [(9, 1.0)]
P0 oo.x...x.ox. [(2, 1.0)]
P0 .xo.x...xxoo [(7, 1.0)]
P0 ooxx...x.ox. [(4, 1.0)]
P0 .xo.x..oxxoo [(6, 1.0)]
P0 ooxxo..x.ox. [(5, 1.0)]
P0 .xo.x...x.ox [(5, 1.0)]
P0 xo.x...x.ox. [(6, 1.0)]
P0 .xo.xo..x.ox [(7, 1.0)]
P0 xo.x..ox.ox. [(4, 1.0)]
P0 .xo.xo.ox.ox [(0, 1)]
P0 xo.xo.ox.ox. [(11, 1)]
P0 xxo.xo.ox.ox [(3, 1)]
P0 xo.xo.ox.oxx [(8, 1)]
P0 xxooxo.ox.ox [(6, 1)]
P0 xo.xo.oxooxx [(5, 1)]
P0 .xo.x...x.x. [(5, 1.0)]
P0 .x.x...x.ox. [(6, 1.0)]
P0 .xo.xo..x.x. [(7, 1.0)]
P0 .x.x..ox.ox. [(4, 1.0)]
P0 .xo.xo.ox.x. [(0, 1)]
P0 .x.xo.ox.ox. [(11, 1)]
P0 oxo.xo.ox.x. [(3, 1)]
P0 .x.xo.ox.oxo [(8, 1)]
P0 oxoxxo.ox.x. [(6, 1)]
P0 .x.xo.oxxoxo [(5, 1)]
P0 xxo.xo.ox.x. [(3, 1)]
P0 .x.xo.ox.oxx [(8, 1)]
P0 xxooxo.ox.x. [(6, 1)]
P0 .x.xo.oxooxx [(5, 1)]
P0 .xo.x..ox... [(5, 1.0)]
P0 ...xo..x.ox. [(6, 1.0)]
P0 .xo.xo.ox... [(0, 1)]
P0 ...xo.ox.ox. [(11, 1)]
P0 xxo.xo.ox... [(3, 1)]
P0 ...xo.ox.oxx [(8, 1)]
P0 xxooxo.ox... [(6, 1)]
P0 ...xo.oxooxx [(5, 1)]
P0 xxooxoxox... [(9, 1)]
P0 ...xoxoxooxx [(2, 1)]
P0 xxoxxo.ox... [(6, 1)]
P0 ...xo.oxxoxx [(5, 1)]
P0 .xo.xx.ox... [(10, 1.0)]
P0 ...xo.xx.ox. [(1, 1.0)]
P0 .xo.xx.ox.o. [(11, 1.0)]
P0 .o.xo.xx.ox. [(0, 1.0)]
P0 .xo.xx.ox.oo [(0, 1)]
P0 oo.xo.xx.ox. [(11, 1)]
P0 xxo.xx.ox.oo [(3, 1)]
P0 oo.xo.xx.oxx [(8, 1)]
P0 xxooxx.ox.oo [(6, 1)]
P0 oo.xo.xxooxx [(5, 1)]
P0 .xo.x..xx... [(10, 1.0)]
P0 ...xx..x.ox. [(1, 1.0)]
P0 .xo.x..xx.o. [(11, 1.0)]
P0 .o.xx..x.ox. [(0, 1.0)]
P0 .xo.x..xx.oo [(9, 1.0)]
P0 oo.xx..x.ox. [(2, 1.0)]
P0 ..x.x...x... [(7, 0.5), (10, 0.5)]
P0 ...x...x.x.. [(4, 0.5), (1, 0.5)]
P0 ..x.x...x.o. [(11, 1.0)]
P0 .o.x...x.x.. [(0, 1.0)]
P0 ..x.x...x.oo [(9, 1.0)]
P0 oo.x...x.x.. [(2, 1.0)]
P0 ..x.x...xxoo [(7, 1.0)]
P0 ooxx...x.x.. [(4, 1.0)]
P0 ..x.x..oxxoo [(6, 1.0)]
P0 ooxxo..x.x.. [(5, 1.0)]
P0 ..x.x...x.ox [(7, 1.0)]
P0 xo.x...x.x.. [(4, 1.0)]
P0 ..x.x..ox.ox [(5, 1.0)]
P0 xo.xo..x.x.. [(6, 1.0)]
P0 ..x.xo.ox.ox [(0, 1)]
P0 xo.xo.ox.x.. [(11, 1)]
P0 o.x.xo.ox.ox [(1, 1)]
P0 xo.xo.ox.x.o [(10, 1)]
P0 oxx.xo.ox.ox [(3, 1)]
P0 xo.xo.ox.xxo [(8, 1)]
P0 oxxoxo.ox.ox [(6, 1)]
P0 xo.xo.oxoxxo [(5, 1)]
P0 x.x.xo.ox.ox [(1, 1)]
P0 xo.xo.ox.x.x [(10, 1)]
P0 xox.xo.ox.ox [(3, 1)]
P0 xo.xo.ox.xox [(8, 1)]
P0 xoxoxo.ox.ox [(6, 1)]
P0 xo.xo.oxoxox [(5, 1)]
P0 ..x.x...x.x. [(5, 1.0)]
P0 .x.x...x.x.. [(6, 1.0)]
P0 ..x.xo..x.x. [(7, 1.0)]
P0 .x.x..ox.x.. [(4, 1.0)]
P0 ..x.xo.ox.x. [(0, 1)]
P0 .x.xo.ox.x.. [(11, 1)]
P0 o.x.xo.ox.x. [(1, 1)]
P0 .x.xo.ox.x.o [(10, 1)]
P0 oox.xo.ox.x. [(3, 1)]
P0 .x.xo.ox.xoo [(8, 1)]
P0 ooxxxo.ox.x. [(6, 1)]
P0 .x.xo.oxxxoo [(5, 1)]
P0 oxx.xo.ox.x. [(3, 1)]
P0 .x.xo.ox.xxo [(8, 1)]
P0 oxxoxo.ox.x. [(6, 1)]
P0 .x.xo.oxoxxo [(5, 1)]
P0 x.x.xo.ox.x. [(1, 1)]
P0 .x.xo.ox.x.x [(10, 1)]
P0 xox.xo.ox.x. [(3, 1)]
P0 .x.xo.ox.xox [(8, 1)]
P0 xoxoxo.ox.x. [(6, 1)]
P0 .x.xo.oxoxox [(5, 1)]
P0 ..x.x..ox... [(5, 1.0)]
P0 ...xo..x.x.. [(6, 1.0)]
P0 ..x.xo.ox... [(0, 1)]
P0 ...xo.ox.x.. [(11, 1)]
P0 o.x.xo.ox... [(1, 1)]
P0 ...xo.ox.x.o [(10, 1)]
P0 oxx.xo.ox... [(3, 1)]
P0 ...xo.ox.xxo [(8, 1)]
P0 oxxoxo.ox... [(6, 1)]
P0 ...xo.oxoxxo [(5, 1)]
P0 oxxoxoxox... [(9, 1)]
P0 ...xoxoxoxxo [(2, 1)]
P0 oxxxxo.ox... [(6, 1)]
P0 ...xo.oxxxxo [(5, 1)]
P0 x.x.xo.ox... [(1, 1)]
P0 ...xo.ox.x.x [(10, 1)]
P0 xox.xo.ox... [(3, 1)]
P0 ...xo.ox.xox [(8, 1)]
P0 xoxoxo.ox... [(6, 1)]
P0 ...xo.oxoxox [(5, 1)]
P0 xoxoxoxox... [(9, 1)]
P0 ...xoxoxoxox [(2, 1)]
P0 xoxxxo.ox... [(6, 1)]
P0 ...xo.oxxxox [(5, 1)]
P0 xxx.xo.ox... [(3, 1)]
P0 ...xo.ox.xxx [(8, 1)]
P0 xxxoxo.ox... [(6, 1)]
P0 ...xo.oxoxxx [(5, 1)]
P0 ..x.xx.ox... [(10, 1.0)]
P0 ...xo.xx.x.. [(1, 1.0)]
P0 ..x.xx.ox.o. [(11, 1.0)]
P0 .o.xo.xx.x.. [(0, 1.0)]
P0 ..x.xx.ox.oo [(0, 1)]
P0 oo.xo.xx.x.. [(11, 1)]
P0 o.x.xx.ox.oo [(1, 1)]
P0 oo.xo.xx.x.o [(10, 1)]
P0 oxx.xx.ox.oo [(3, 1)]
P0 oo.xo.xx.xxo [(8, 1)]
P0 oxxoxx.ox.oo [(6, 1)]
P0 oo.xo.xxoxxo [(5, 1)]
P0 x.x.xx.ox.oo [(1, 1)]
P0 oo.xo.xx.x.x [(10, 1)]
P0 xox.xx.ox.oo [(3, 1)]
P0 oo.xo.xx.xox [(8, 1)]
P0 xoxoxx.ox.oo [(6, 1)]
P0 oo.xo.xxoxox [(5, 1)]
P0 ..x.x..xx... [(10, 1.0)]
P0 ...xx..x.x.. [(1, 1.0)]
P0 ..x.x..xx.o. [(11, 1.0)]
P0 .o.xx..x.x.. [(0, 1.0)]
P0 ..x.x..xx.oo [(9, 1.0)]
P0 oo.xx..x.x.. [(2, 1.0)]
P0 ....x..ox... [(5, 1.0)]
P0 ...xo..x.... [(6, 1.0)]
P0 ....xo.ox... [(0, 1)]
P0 ...xo.ox.... [(11, 1)]
P0 x...xo.ox... [(1, 1)]
P0 ...xo.ox...x [(10, 1)]
P0 xo..xo.ox... [(2, 1)]
P0 ...xo.ox..ox [(9, 1)]
P0 xx..xo.ox... [(2, 1)]
P0 ...xo.ox..xx [(9, 1)]
P0 ....xx.ox... [(2, 0.5), (10, 0.5)]
P0 ...xo.xx.... [(9, 0.5), (1, 0.5)]
P0 ....xx.ox.o. [(11, 1.0)]
P0 .o.xo.xx.... [(0, 1.0)]
P0 ....xx.ox.oo [(9, 1.0)]
P0 oo.xo.xx.... [(2, 1.0)]
P0 ....xx.oxxoo [(6, 1.0)]
P0 ooxxo.xx.... [(5, 1.0)]
P0 ....xxxoxxoo [(2, 1.0)]
P0 ooxxoxxx.... [(9, 1.0)]
P0 ..o.xxxoxxoo [(1, 1.0)]
P0 ooxxoxxx.o.. [(10, 1.0)]
P0 .oo.xxxoxxoo [(0, 1)]
P0 ooxxoxxx.oo. [(11, 1)]
P0 ....xx.ox.ox [(0, 1)]
P0 xo.xo.xx.... [(11, 1)]
P0 o...xx.ox.ox [(1, 1)]
P0 xo.xo.xx...o [(10, 1)]
P0 oo..xx.ox.ox [(2, 1)]
P0 xo.xo.xx..oo [(9, 1)]
P0 x...xx.ox.ox [(1, 1)]
P0 xo.xo.xx...x [(10, 1)]
P0 xo..xx.ox.ox [(2, 1)]
